"","INCIDENT_NUMBER","LOCATION_DISTRICT","OFFENS_DESCRIPTION","ymd","month","wday","LONGTITUDE","LATITUDE","LOCATION_ADDRESS","CITY","STATE"
"15276","2016-078182",64,"THEFT OF PROPERTY MISD",2016-07-09,7,"Saturday",-92.3738808,34.7311031,"2600 JOHN BARROW RD","Little Rock"," Arkansas"
"15277","2016-129145",51,"THEFT OF PROPERTY MISD",2016-11-15,11,"Tuesday",-92.2824895,34.7495829,"1101 W MARKHAM ST","Little Rock"," Arkansas"
"15278","2016-127224",54,"THEFT OF PROPERTY MISD",2016-11-08,11,"Tuesday",-92.3302835,34.7468758,"1 ZOO DR","Little Rock"," Arkansas"
"15279","2016-094560",70,"THEFT OF PROPERTY MISD",2016-08-22,8,"Monday",-92.429489,34.801877,"14121 CANTRELL RD","Little Rock"," Arkansas"
"15280","2016-070700",81,"THEFT OF PROPERTY MISD",2016-06-26,6,"Sunday",-92.3268326,34.686393,"8 RUGBY DR","Little Rock"," Arkansas"
"15281","2016-055615",82,"THEFT OF PROPERTY MISD",2016-05-01,5,"Sunday",-92.3523307,34.667068,"6401 BASELINE RD","Little Rock"," Arkansas"
"15282","2016-112337",54,"THEFT OF PROPERTY MISD",2016-10-03,10,"Monday",-92.3371665,34.7369669,"1608 S FILLMORE ST","Little Rock"," Arkansas"
"15283","2016-143497",81,"THEFT OF PROPERTY MISD",2016-12-22,12,"Thursday",-92.3111603,34.6753063,"7801 JAMISON RD","Little Rock"," Arkansas"
"15284","2016-040782",50,"THEFT OF PROPERTY MISD",2016-04-14,4,"Thursday",-92.3222585,34.7551566,"4415 LEE AVE","Little Rock"," Arkansas"
"15285","2016-134117",62,"THEFT OF PROPERTY MISD",2016-11-08,11,"Tuesday",-92.3590182,34.7037468,"11 LAKESIDE DR","Little Rock"," Arkansas"
"15286","2016-106672",50,"THEFT OF PROPERTY MISD",2016-09-21,9,"Wednesday",-92.3105168,34.7590202,"1000 N MARTIN ST","Little Rock"," Arkansas"
"15287","2016-100225",90,"THEFT OF PROPERTY MISD",2016-09-03,9,"Saturday",-92.354761,34.695076,"87 S MEADOWCLIFF DR","Little Rock"," Arkansas"
"15288","2016-054968",70,"THEFT OF PROPERTY MISD",2016-05-17,5,"Tuesday",-92.4311593,34.7976354,"14305 JEROME DR","Little Rock"," Arkansas"
"15289","2016-059476",40,"THEFT OF PROPERTY MISD",2016-05-30,5,"Monday",-92.2754485,34.7328653,"1623 CENTER ST","Little Rock"," Arkansas"
"15290","2016-120427",82,"THEFT OF PROPERTY MISD",2016-10-24,10,"Monday",-92.3599434,34.6652589,"7313 FAIRFIELD DR","Little Rock"," Arkansas"
"15291","2016-121382",50,"THEFT OF PROPERTY MISD",2016-10-22,10,"Saturday",-92.3355872,34.7789723,"2925 N TAYLOR ST","Little Rock"," Arkansas"
"15292","2016-116554",54,"THEFT OF PROPERTY MISD",2016-10-15,10,"Saturday",-92.3239148,34.74257,"1002 WASHINGTON ST","Little Rock"," Arkansas"
"15293","2016-127136",81,"THEFT OF PROPERTY MISD",2016-11-11,11,"Friday",-92.3397496,34.6750659,"5601 DREHER LN","Little Rock"," Arkansas"
"15294","2016-086193",52,"THEFT OF PROPERTY MISD",2016-07-28,7,"Thursday",-92.2791596,34.7330345,"1701 S ARCH ST","Little Rock"," Arkansas"
"15295","2016-088985",53,"THEFT OF PROPERTY MISD",2016-08-07,8,"Sunday",-92.3022439,34.7469602,"2603 W CAPITOL AVE","Little Rock"," Arkansas"
"15296","2016-113590",81,"THEFT OF PROPERTY MISD",2016-10-08,10,"Saturday",-92.334378,34.681953,"18 MANSFIELD DR","Little Rock"," Arkansas"
