LATITUDE,LONGITUDE,DATE,DAILYMaximumDryBulbTemp,DAILYMinimumDryBulbTemp,MonthlyMaximumTemp,MonthlyMinimumTemp,MonthlyMeanTemp
34.7273,-92.2389,1/11/15 7:53,,,,,
34.7273,-92.2389,1/11/15 8:07,,,,,
34.7273,-92.2389,1/11/15 8:17,,,,,
34.7273,-92.2389,1/11/15 8:43,,,,,
34.7273,-92.2389,1/11/15 8:53,,,,,
34.7273,-92.2389,1/11/15 9:08,,,,,
34.7273,-92.2389,1/11/15 9:19,,,,,
34.7273,-92.2389,1/11/15 9:53,,,,,
34.7273,-92.2389,1/11/15 10:07,,,,,
34.7273,-92.2389,1/11/15 10:53,,,,,
34.7273,-92.2389,1/11/15 11:42,,,,,
34.7273,-92.2389,1/11/15 11:53,,,,,
34.7273,-92.2389,1/11/15 12:03,,,,,
34.7273,-92.2389,1/11/15 12:53,,,,,
34.7273,-92.2389,1/11/15 13:02,,,,,
34.7273,-92.2389,1/11/15 13:40,,,,,
34.7273,-92.2389,1/11/15 13:53,,,,,
34.7273,-92.2389,1/11/15 14:53,,,,,
34.7273,-92.2389,1/11/15 15:16,,,,,
34.7273,-92.2389,1/11/15 15:53,,,,,
34.7273,-92.2389,1/11/15 16:21,,,,,
34.7273,-92.2389,1/11/15 16:36,,,,,
34.7273,-92.2389,1/11/15 16:53,,,,,
34.7273,-92.2389,1/11/15 17:53,,,,,
34.7273,-92.2389,1/11/15 18:37,,,,,
34.7273,-92.2389,1/11/15 18:53,,,,,
34.7273,-92.2389,1/11/15 18:57,,,,,
34.7273,-92.2389,1/11/15 19:53,,,,,
34.7273,-92.2389,1/11/15 19:58,,,,,
34.7273,-92.2389,1/11/15 20:02,,,,,
34.7273,-92.2389,1/11/15 20:24,,,,,
34.7273,-92.2389,1/11/15 20:53,,,,,
34.7273,-92.2389,1/11/15 21:53,,,,,
34.7273,-92.2389,1/11/15 22:25,,,,,
34.7273,-92.2389,1/11/15 22:43,,,,,
34.7273,-92.2389,1/11/15 22:53,,,,,
34.7273,-92.2389,1/11/15 23:35,,,,,
34.7273,-92.2389,1/11/15 23:51,,,,,
34.7273,-92.2389,1/11/15 23:53,39,32,,,
34.7273,-92.2389,1/11/15 23:59,39,32,,,
34.7273,-92.2389,1/12/15 0:26,,,,,
34.7273,-92.2389,1/12/15 0:53,,,,,
34.7273,-92.2389,1/12/15 1:00,,,,,
34.7273,-92.2389,1/12/15 1:04,,,,,
