"","date","dailyMax","dailyMin"
"9798","2015-11-24",63,36
"9822","2015-11-25",66,40
"9823","2015-11-25",66,40
"9852","2015-11-26",74,59
"9853","2015-11-26",74,59
"9892","2015-11-27",68,51
"9893","2015-11-27",68,51
"9954","2015-11-28",51,47
"9955","2015-11-28",51,47
"10000","2015-11-29",48,45
"10001","2015-11-29",48,45
"10048","2015-11-30",52,46
"10049","2015-11-30",52,46
"10077","2015-12-1",52,41
"10078","2015-12-1",52,41
"10108","2015-12-2",53,36
"10109","2015-12-2",53,36
"10133","2015-12-3",55,33
"10134","2015-12-3",55,33
"10158","2015-12-4",54,34
"10159","2015-12-4",54,34
"10183","2015-12-5",59,32
"10184","2015-12-5",59,32
"10208","2015-12-6",65,33
"10209","2015-12-6",65,33
"10233","2015-12-7",64,36
"10234","2015-12-7",64,36
"10258","2015-12-8",68,36
"10259","2015-12-8",68,36
"10292","2015-12-9",71,46
"10293","2015-12-9",71,46
"10322","2015-12-10",72,40
"10323","2015-12-10",72,40
"10358","2015-12-11",77,58
"10359","2015-12-11",77,58
"10391","2015-12-12",76,63
"10392","2015-12-12",76,63
"10434","2015-12-13",71,52
"10435","2015-12-13",71,52
"10462","2015-12-14",65,43
"10463","2015-12-14",65,43
"10488","2015-12-15",69,40
"10518","2015-12-16",63,43
"10519","2015-12-16",63,43
"10543","2015-12-17",53,35
"10544","2015-12-17",53,35
"10570","2015-12-18",50,33
"10571","2015-12-18",50,33
"10595","2015-12-19",59,29
"10596","2015-12-19",59,29
"10620","2015-12-20",59,37
"10621","2015-12-20",59,37
"10659","2015-12-21",66,56
"10660","2015-12-21",66,55
"10687","2015-12-22",65,38
"10688","2015-12-22",65,38
"10731","2015-12-23",74,57
"10732","2015-12-23",74,56
"10761","2015-12-24",71,45
"10762","2015-12-24",71,45
"10802","2015-12-25",61,54
"10803","2015-12-25",61,54
"10865","2015-12-26",81,54
"10866","2015-12-26",81,54
"10924","2015-12-27",70,46
"10925","2015-12-27",70,46
"10968","2015-12-28",51,39
"10969","2015-12-28",51,39
"10994","2015-12-29",43,37
"10995","2015-12-29",43,37
"11020","2015-12-30",49,35
"11021","2015-12-30",49,35
"11045","2015-12-31",46,31
"11046","2015-12-31",46,31
"11070","2016-1-1",49,33
"11071","2016-1-1",49,33
"11095","2016-1-2",54,29
"11096","2016-1-2",54,29
"11120","2016-1-3",55,34
"11121","2016-1-3",55,34
"11147","2016-1-4",40,27
"11148","2016-1-4",40,27
"11172","2016-1-5",43,25
"11173","2016-1-5",43,25
"11197","2016-1-6",52,27
"11198","2016-1-6",52,27
"11230","2016-1-7",48,41
"11231","2016-1-7",48,41
"11281","2016-1-8",66,48
"11282","2016-1-8",66,48
"11326","2016-1-9",54,37
"11327","2016-1-9",54,37
"11351","2016-1-10",37,25
"11352","2016-1-10",37,25
"11376","2016-1-11",46,23
"11377","2016-1-11",46,23
"11401","2016-1-12",57,29
"11402","2016-1-12",57,29
"11426","2016-1-13",60,29
"11427","2016-1-13",60,29
"11451","2016-1-14",65,33
"11452","2016-1-14",65,33
"11482","2016-1-15",67,40
"11483","2016-1-15",67,40
"11507","2016-1-16",44,34
"11508","2016-1-16",44,34
"11532","2016-1-17",50,27
"11533","2016-1-17",50,27
"11564","2016-1-18",35,22
"11565","2016-1-18",35,22
"11591","2016-1-19",37,23
"11592","2016-1-19",37,23
"11628","2016-1-20",36,31
"11629","2016-1-20",36,31
"11686","2016-1-21",48,31
"11688","2016-1-21",35,31
"11723","2016-1-22",43,31
"11724","2016-1-22",43,31
"11750","2016-1-23",40,28
"11751","2016-1-23",40,28
"11775","2016-1-24",45,25
"11776","2016-1-24",45,25
"11802","2016-1-25",65,39
"11803","2016-1-25",65,39
"11827","2016-1-26",53,35
"11828","2016-1-26",53,35
"11852","2016-1-27",48,28
"11853","2016-1-27",48,28
"11877","2016-1-28",66,29
"11878","2016-1-28",66,29
"11902","2016-1-29",69,34
"11903","2016-1-29",69,34
"11927","2016-1-30",73,48
"11928","2016-1-30",73,48
"11955","2016-1-31",75,57
"11956","2016-1-31",75,57
"11984","2016-2-1",60,52
"11985","2016-2-1",60,52
"12014","2016-2-2",75,53
"12015","2016-2-2",75,53
"12039","2016-2-3",52,35
"12040","2016-2-3",52,35
"12064","2016-2-4",51,29
"12065","2016-2-4",51,29
"12089","2016-2-5",56,27
"12090","2016-2-5",56,27
"12114","2016-2-6",57,29
"12115","2016-2-6",57,29
"12139","2016-2-7",61,31
"12140","2016-2-7",61,31
"12164","2016-2-8",52,37
"12165","2016-2-8",52,37
"12189","2016-2-9",51,33
"12190","2016-2-9",51,33
"12214","2016-2-10",54,27
"12215","2016-2-10",54,27
"12239","2016-2-11",54,31
"12240","2016-2-11",54,31
"12264","2016-2-12",64,32
"12265","2016-2-12",64,32
"12289","2016-2-13",46,31
"12290","2016-2-13",46,31
"12325","2016-2-14",53,33
"12326","2016-2-14",53,33
"12362","2016-2-15",55,38
"12363","2016-2-15",55,38
"12392","2016-2-16",68,42
"12393","2016-2-16",68,42
"12417","2016-2-17",59,34
"12418","2016-2-17",59,34
"12442","2016-2-18",74,37
"12443","2016-2-18",74,37
"12469","2016-2-19",73,56
"12470","2016-2-19",73,56
"12500","2016-2-20",69,62
"12501","2016-2-20",69,62
"12529","2016-2-21",75,62
"12530","2016-2-21",75,62
"12556","2016-2-22",62,46
"12557","2016-2-22",62,46
"12597","2016-2-23",48,41
"12598","2016-2-23",48,41
"12628","2016-2-24",50,35
"12629","2016-2-24",50,35
"12653","2016-2-25",53,31
"12654","2016-2-25",53,31
"12678","2016-2-26",57,29
"12679","2016-2-26",57,29
"12703","2016-2-27",71,35
"12704","2016-2-27",71,35
"12728","2016-2-28",73,44
"12729","2016-2-28",73,44
"12753","2016-2-29",68,46
"12754","2016-2-29",68,46
"12791","2016-3-1",67,43
"12792","2016-3-1",67,43
"12816","2016-3-2",58,35
"12817","2016-3-2",58,35
"12850","2016-3-3",65,46
"12851","2016-3-3",65,46
"12878","2016-3-4",62,41
"12879","2016-3-4",62,41
"12903","2016-3-5",75,41
"12904","2016-3-5",75,41
"12928","2016-3-6",75,44
"12929","2016-3-6",75,44
"12953","2016-3-7",71,56
"12954","2016-3-7",71,56
"13004","2016-3-8",77,59
"13005","2016-3-8",77,59
"13066","2016-3-9",62,59
"13067","2016-3-9",62,59
"13117","2016-3-10",66,56
"13118","2016-3-10",66,56
"13164","2016-3-11",56,52
"13165","2016-3-11",56,52
"13217","2016-3-12",66,55
"13219","2016-3-12",66,55
"13265","2016-3-13",71,53
"13266","2016-3-13",71,53
"13296","2016-3-14",79,51
"13297","2016-3-14",79,51
"13322","2016-3-15",87,63
"13323","2016-3-15",87,63
"13347","2016-3-16",74,50
"13348","2016-3-16",74,50
"13372","2016-3-17",69,44
"13373","2016-3-17",69,44
"13397","2016-3-18",66,51
"13398","2016-3-18",66,51
"13424","2016-3-19",61,44
"13425","2016-3-19",61,44
"13449","2016-3-20",53,36
"13450","2016-3-20",53,36
