Incident Number,District,Offense Description,Incident Address,Incident Date
2014-115732,70,Breaking or Entering Vehicle,"11710 PLEASANT RIDGE
Little Rock, Arkansas",10/05/2014-10/06/2014
2015-115936,50,Breaking or Entering Vehicle,"3901 CEDER HILL DR
Little Rock, Arkansas",10/08/2015-10/09/2015
2014-126019,51,Breaking or Entering Vehicle,"711 S PULASKI ST
Little Rock, Arkansas",10/29/2014-10/30/2014
2015-125765,93,Breaking or Entering Vehicle,"13600 OTTER CREEK
Little Rock, Arkansas",11/01/2015-11/02/2015
2014-127982,92,Breaking or Entering Vehicle,"56 PINEDALE
Little Rock, Arkansas",11/03/2014-11/04/2014
2015-126550,93,Breaking or Entering Vehicle,"27 QUAIL RUN
Little Rock, Arkansas",11/03/2015-11/04/2015
2015-126930,92,Breaking or Entering Vehicle,"8 IRISH ROSE
Little Rock, Arkansas",11/04/2015-11/05/2015
2014-136224,52,Breaking or Entering Vehicle,"3324 S ARCH ST
Little Rock, Arkansas",11/24/2014-11/25/2014
2015-138520,92,Breaking or Entering Vehicle,"9 WHISPERING DR
Little Rock, Arkansas",12/04/2015-12/05/2015
2015-140444,72,Breaking or Entering Vehicle,"6408 THE DIVIDE
Little Rock, Arkansas",12/09/2015-12/10/2015
2015-140299,72,Breaking or Entering Vehicle,"6402 THE DIVIDE
Little Rock, Arkansas",12/09/2015-12/10/2015
2014-143192,42,Breaking or Entering Vehicle,"5920 FOURCHE DAM
Little Rock, Arkansas",12/12/2014-12/13/2014
2014-144688,64,Breaking or Entering Vehicle,"11301 FINANCIAL CENTRE
Little Rock, Arkansas",12/16/2014-12/17/2014
2015-143193,63,Breaking or Entering Vehicle,"15 RIO GRAND FOREST RD
Little Rock, Arkansas",12/16/2015-12/17/2015
2015-145573,81,Breaking or Entering Vehicle,"4800 TERRA VISTA
Little Rock, Arkansas",12/22/2015-12/23/2015
2014-148317,92,Breaking or Entering Vehicle,"1 OTTER CREEK
Little Rock, Arkansas",12/25/2014-12/26/2014
2015-147130,64,Breaking or Entering Vehicle,"10900 FINANCIAL CENTRE
Little Rock, Arkansas",12/26/2015-12/27/2015
2014-149356,51,Breaking or Entering Vehicle,"6311 W ASHER
Little Rock, Arkansas",12/28/2014-12/29/2014
2014-150141,72,Breaking or Entering Vehicle,"118 VALLEY RANCH
Little Rock, Arkansas",12/30/2014-12/31/2014
2014-150036,60,Breaking or Entering Vehicle,"1011 N BRYAN ST
Little Rock, Arkansas",12/30/2014-12/31/2014
2014-000231,40,Breaking or Entering Vehicle,"200 E LAHARPE
Little Rock, Arkansas",12/31/2013-01/01/2014
2015-001884,91,Burglary - Residential,"11006 LEGION HUT RD
Little Rock, Arkansas",1/5/15
2015-001843,91,Burglary - Residential,"11121 LEGION HUT RD
Little Rock, Arkansas",1/5/15
2015-003366,93,Burglary - Residential,"20 QUAIL RUN
Little Rock, Arkansas",1/9/15
2015-005324,93,Burglary - Residential,"20 QUAIL RUN
Little Rock, Arkansas",1/15/15
2015-005988,91,Burglary - Residential,"9910 MABELVALE MAIN ST
Little Rock, Arkansas",1/16/15
2015-008769,91,Burglary - Residential,"7708 CLAYBROOK RD
Little Rock, Arkansas",1/23/15
2015-012016,43,Burglary - Residential,"115 HAYS DR
Little Rock, Arkansas",1/31/15
2015-013134,91,Burglary - Residential,"7821 DEPRIEST RD
Little Rock, Arkansas",2/3/15
2015-013109,91,Burglary - Residential,"11221 LEGION HUT RD
Little Rock, Arkansas",2/3/15
2015-015818,71,Burglary - Residential,"15501 CAPITOL HILL
Little Rock, Arkansas",2/10/15
2015-016270,91,Burglary - Residential,"7712 CLAYBROOK RD
Little Rock, Arkansas",2/11/15
2015-016172,91,Burglary - Residential,"7800 DEPRIEST RD
Little Rock, Arkansas",2/11/15
2015-016087,91,Burglary - Residential,"11221 LEGION HUT RD
Little Rock, Arkansas",2/11/15
2015-018029,91,Burglary - Residential,"10525 LEGION HUT RD
Little Rock, Arkansas",2/14/15
2015-017823,93,Burglary - Residential,"3 SOUTHERN HILLS
Little Rock, Arkansas",2/15/15
2015-017749,91,Burglary - Residential,"10500 LEGION HUT RD
Little Rock, Arkansas",2/15/15
2015-018316,71,Burglary - Residential,"15505 CAPITOL HILL
Little Rock, Arkansas",2/17/15
2015-024495,54,Burglary - Residential,"1415 FAIR PARK
Little Rock, Arkansas",3/6/15
2015-025662,93,Burglary - Residential,"13600 OTTER CREEK
Little Rock, Arkansas",3/10/15
2015-035538,71,Burglary - Residential,"15501 CAPITOL HILL
Little Rock, Arkansas",4/3/15
2015-039589,91,Burglary - Residential,"10 WHISPERING OAK DR
Little Rock, Arkansas",4/11/15
2015-044214,54,Burglary - Residential,"3401 FAIR PARK
Little Rock, Arkansas",4/22/15
2015-048277,54,Burglary - Residential,"1100 FAIR PARK APT 29 BL
Little Rock, Arkansas",5/4/15
2015-049463,92,Burglary - Residential,"59 ANGEL CT
Little Rock, Arkansas",5/7/15
2015-052557,92,Burglary - Residential,"8500 TEDBURN / 9400 MERRIVALE DR DR
Little Rock, Arkansas",5/14/15
2015-060237,80,Burglary - Residential,"4805 ROSEMOOR DR
Little Rock, Arkansas",6/1/15
2015-066492,54,Burglary - Residential,"2619 FAIR PARK
Little Rock, Arkansas",6/15/15
2015-068841,80,Burglary - Residential,"7515 AZALEAL DR
Little Rock, Arkansas",6/20/15
2015-071843,62,Burglary - Residential,"4715 DARRAUGH DR
Little Rock, Arkansas",6/28/15
2015-073303,54,Burglary - Residential,"1100 FAIR PARK
Little Rock, Arkansas",7/1/15
2015-080037,91,Burglary - Residential,"7700 BUNCH RD
Little Rock, Arkansas",7/16/15
2015-082034,81,Burglary - Residential,"4816 TERRA CIR
Little Rock, Arkansas",7/20/15
2015-083634,90,Burglary - Residential,"20 QUAIL RUN
Little Rock, Arkansas",7/23/15
2015-083516,93,Burglary - Residential,"9 SOUTHERN HILLS
Little Rock, Arkansas",7/23/15
2015-084965,91,Burglary - Residential,"9401 W 37TH ST
Little Rock, Arkansas",7/27/15
2015-085362,92,Burglary - Residential,"9817 MABELVALE
Little Rock, Arkansas",7/28/15
2015-086842,71,Burglary - Residential,"516 GREEN MOUNTAIN
Little Rock, Arkansas",7/31/15
2015-088488,91,Burglary - Residential,"8116 BUNCH RD
Little Rock, Arkansas",8/4/15
2015-091559,54,Burglary - Residential,"3401 FAIR PARK
Little Rock, Arkansas",8/11/15
2015-092769,71,Burglary - Residential,"13200 SAM PECK RD
Little Rock, Arkansas",8/14/15
2015-093891,71,Burglary - Residential,"13200 SAM PECK RD
Little Rock, Arkansas",8/17/15
2015-094498,54,Burglary - Residential,"1100 FAIR PARK
Little Rock, Arkansas",8/19/15
2015-097107,90,Burglary - Residential,"100 SANIBEL
Little Rock, Arkansas",8/25/15
2015-098047,63,Burglary - Residential,"3 TREASURE HILL
Little Rock, Arkansas",8/27/15
2015-097963,90,Burglary - Residential,"6224 MCPHERSON RD
Little Rock, Arkansas",8/27/15
2015-098520,92,Burglary - Residential,"71 ANGEL CT
Little Rock, Arkansas",8/28/15
2015-101423,91,Burglary - Residential,"9817 MABELVALE
Little Rock, Arkansas",9/4/15
2015-103642,91,Burglary - Residential,"9002 JOHNSON RD
Little Rock, Arkansas",9/9/15
2015-112372,91,Burglary - Residential,"135 WHISPERING OAK
Little Rock, Arkansas",9/30/15
2015-120809,93,Burglary - Residential,"13600 OTTER CREEK
Little Rock, Arkansas",10/20/15
2015-122570,91,Burglary - Residential,"9817 MABELVALE
Little Rock, Arkansas",10/25/15
2015-123112,93,Burglary - Residential,"12 WIMBLEDON GREEN
Little Rock, Arkansas",10/26/15
2015-127268,91,Burglary - Residential,"8121 CASTLE VALLEY RD
Little Rock, Arkansas",11/5/15
2015-129825,54,Burglary - Residential,"3401 FAIR PARK
Little Rock, Arkansas",11/12/15
2015-131445,91,Burglary - Residential,"7805 PAT LN
Little Rock, Arkansas",11/16/15
2015-132665,71,Burglary - Residential,"420 NAPA VALLEY DR
Little Rock, Arkansas",11/18/15
2015-134716,80,Burglary - Residential,"4800 TERRA VISTA
Little Rock, Arkansas",11/24/15
2015-135308,91,Burglary - Residential,"11301 DEWITT LN
Little Rock, Arkansas",11/26/15
2015-137093,54,Burglary - Residential,"1300 FAIR PARK
Little Rock, Arkansas",12/1/15
2015-140170,93,Burglary - Residential,"13600 OTTER CREEK
Little Rock, Arkansas",12/9/15
2015-143964,93,Burglary - Residential,"9 WIMBLEDON GREEN
Little Rock, Arkansas",12/19/15
2014-002066,40,Burglary - Residential,"503 E 6TH APT 7N ST
Little Rock, Arkansas",01/02/2014-01/06/2014
2014-013700,62,Burglary - Residential,"3313 VANCOUVER DR
Little Rock, Arkansas",01/06/2014-02/06/2014
2014-003144,80,Burglary - Residential,"3401 FAIR PARK
Little Rock, Arkansas",01/08/2014-01/09/2014
2015-006841,62,Burglary - Residential,"1 DANWOOD RD
Little Rock, Arkansas",01/16/2015-01/18/2015
2015-008577,71,Burglary - Residential,"13200 SAM PECK RD
Little Rock, Arkansas",01/21/2015-01/23/2015
2015-026456,91,Burglary - Residential,"8520 SHILOH DR
Little Rock, Arkansas",02/01/2015-03/12/2015
2014-019121,91,Burglary - Residential,"9 KELLI CT
Little Rock, Arkansas",02/18/2014-02/20/2014
2014-044631,93,Burglary - Residential,"14 WIMBLEDON GREEN
Little Rock, Arkansas",04/22/2014-02/25/2014
2014-044249,91,Burglary - Residential,"10524 LEGION HUT RD
Little Rock, Arkansas",04/22/2014-04/24/2014
2015-059752,91,Burglary - Residential,"11013 LEGION HUT RD
Little Rock, Arkansas",05/30/2015-05/31/2015
2014-061105,54,Burglary - Residential,"3401 FAIR PARK
Little Rock, Arkansas",05/31/2014-06/03/2014
2015-063522,80,Burglary - Residential,"4805 ROSEMOOR DR
Little Rock, Arkansas",06/08/2015-06/09/2015
2015-067955,72,Burglary - Residential,"6426 THE DIVIDE
Little Rock, Arkansas",06/09/2015-06/18/2015
2014-066566,72,Burglary - Residential,"6426 THE DIVIDE
Little Rock, Arkansas",06/14/2014-06/15/2014
2014-070353,91,Burglary - Residential,"8600 SHILOH DR
Little Rock, Arkansas",06/20/2014-06/24/2014
2014-082610,91,Burglary - Residential,"10525 LEGION HUT RD
Little Rock, Arkansas",07/21/2014-07/22/2014
2015-088077,91,Burglary - Residential,"7906 DEPRIEST RD
Little Rock, Arkansas",07/22/2015-08/03/2015
2015-086247,90,Burglary - Residential,"9 SOUTHERN HILLS
Little Rock, Arkansas",07/24/2015-07/30/2015
2015-085364,92,Burglary - Residential,"9717 WOODLAND DR
Little Rock, Arkansas",07/27/2015-07/28/2015
2014-092616,93,Burglary - Residential,"21 SOUTHERN HILLS
Little Rock, Arkansas",08/02/2014-08/14/2014
2015-090545,71,Burglary - Residential,"507 GREEN MOUNTAIN
Little Rock, Arkansas",08/03/2015-08/08/2015
2014-091659,91,Burglary - Residential,"10812 LORIE LN
Little Rock, Arkansas",08/11/2014-08/12/2014
2015-092125,54,Burglary - Residential,"3401 FAIR PARK
Little Rock, Arkansas",08/12/2015-08/13/2015
2014-094175,42,Burglary - Residential,"1108 J L HAWKINS ST
Little Rock, Arkansas",08/14/2014-08/18/2014
2014-098889,61,Burglary - Residential,"28 BARBARA CR
Little Rock, Arkansas",08/28/2014-08/29/2014
2015-099723,70,Burglary - Residential,"1421 N SHACKLEFORD (NORTH APT) RD
Little Rock, Arkansas",08/30/2015-08/31/2015
2015-120387,54,Burglary - Residential,"2206 FAIR PARK
Little Rock, Arkansas",09/14/2015-10/19/2015
2014-125974,42,Burglary - Residential,"7400 FOURCHE DAM
Little Rock, Arkansas",09/15/2014-10/30/2014
2014-114401,40,Burglary - Residential,"503 E 6TH APT 5F ST
Little Rock, Arkansas",09/27/2014-09/28/2014
2015-119762,54,Burglary - Residential,"3401 FAIR PARK
Little Rock, Arkansas",10/17/2015-10/18/2015
2015-121550,93,Burglary - Residential,"2 SOUTHERN HILLS
Little Rock, Arkansas",10/19/2015-10/22/2015
2014-122101,53,Burglary - Residential,"315 S PARK APT B ST
Little Rock, Arkansas",10/20/2014-10/21/2014
2014-126896,92,Burglary - Residential,"101 VILLAGE
Little Rock, Arkansas",10/31/2014-11/01/2014
2014-129382,91,Burglary - Residential,"8721 MANASSAS
Little Rock, Arkansas",11/05/2014-11/07/2014
2014-133660,71,Burglary - Residential,"15509 CAPITOL HILL
Little Rock, Arkansas",11/17/2014-11/18/2014
2014-138074,91,Burglary - Residential,"11013 LEGION HUT RD
Little Rock, Arkansas",11/29/2014-11/30/2014
2015-138038,91,Burglary - Residential,"10513 TOPAZ #B CT
Little Rock, Arkansas",12/03/2015-12/04/2015
2015-148082,92,Burglary - Residential,"21 CARROLL
Little Rock, Arkansas",12/20/2015-12/27/2015
2014-148953,72,Burglary - Residential,"6420 THE DIVIDE
Little Rock, Arkansas",12/27/2014-12/28/2014
2014-003486,90,Burglary - Residential,"25 SOUTHERN HILLS
Little Rock, Arkansas",12/30/2013-01/10/2014
2015-070994,81,Burglary aggravated residential,"4808 TERRA VISTA
Little Rock, Arkansas",6/26/15
2015-032249,60,Burglary Commercial,"314 S UNIVERISTY
Little Rock, Arkansas",3/27/15
2015-054104,93,Burglary Commercial,"12300 CRYSTAL VALLEY RD
Little Rock, Arkansas",5/18/15
2015-110635,93,Burglary Commercial,"10720 BASS PKWY
Little Rock, Arkansas",9/25/15
2015-123299,92,Burglary Commercial,"10402 MABELVALE
Little Rock, Arkansas",10/27/15
2015-127800,54,Burglary Commercial,"1217 FAIR PARK
Little Rock, Arkansas",11/7/15
2015-128192,92,Burglary Commercial,"10402 MABELVALE
Little Rock, Arkansas",11/8/15
2015-128532,54,Burglary Commercial,"3307 FAIR PARK
Little Rock, Arkansas",11/9/15
2015-133752,42,Burglary Commercial,"6214 FOURCHE DAM
Little Rock, Arkansas",11/22/15
2015-016757,92,Burglary Commercial,"11300 ALEXANDER RD
Little Rock, Arkansas",02/12/2015-02/13/2015
2015-036895,42,Burglary Commercial,"6700 FOURCHE DAM
Little Rock, Arkansas",04/06/2015-04/07/2015
2014-081805,52,Burglary Commercial,"2505 THAYER ST
Little Rock, Arkansas",07/18/2014-07/20/2014
2015-118025,42,Burglary Commercial,"8914 FOURCHE DAM
Little Rock, Arkansas",10/12/2015-10/13/2015
2014-119092,42,Burglary Commercial,"6700 FOURCHE DAM
Little Rock, Arkansas",10/13/2014-10/14/2014
2015-071597,92,Domestic Battering 2nd degree,"14 IRISH ROSE
Little Rock, Arkansas",6/27/15
2015-090069,91,Domestic Battering 2nd degree,"6800 MABELVALE / 10500 WARREN DR
Little Rock, Arkansas",8/8/15
2015-098356,82,Domestic Battering 2nd degree,"6510 MABELVALE CUTOFF CO
Little Rock, Arkansas",8/24/15
2015-107452,51,Domestic Battering 2nd degree,"21 MARYLAND
Little Rock, Arkansas",9/12/15
2015-112108,60,Domestic Battering 2nd degree,"15 S MCKINLEY ST
Little Rock, Arkansas",9/29/15
2015-127181,80,Domestic Battering 2nd degree,"4808 TERRA VISTA
Little Rock, Arkansas",11/5/15
2015-133707,52,Domestic Battering 2nd degree,"2601 W MARTIN LUTHER KING DR
Little Rock, Arkansas",11/22/15
2015-094767,91,Homicide,"11511 LEGION RD
Little Rock, Arkansas",8/19/15
2015-107950,54,Homicide,"1200 FAIR PARK
Little Rock, Arkansas",9/19/15
2015-093872,42,Robbery (Business),"8701 FOURCHE DAM
Little Rock, Arkansas",8/17/15
2015-130747,64,Robbery (Business),"11500 FINANCIAL CENTRE
Little Rock, Arkansas",11/14/15
2015-001546,64,Robbery (Individual),"11301 FINANCIAL CENTRE
Little Rock, Arkansas",1/4/15
2015-004151,54,Robbery (Individual),"901 FAIR PARK
Little Rock, Arkansas",1/12/15
2015-009754,54,Robbery (Individual),"7919 COL GLENN RD
Little Rock, Arkansas",1/25/15
2015-014311,72,Robbery (Individual),"1 FAIR PARK
Little Rock, Arkansas",2/6/15
2015-022454,54,Robbery (Individual),"5 S HARRISON ST
Little Rock, Arkansas",2/28/15
2015-044500,54,Robbery (Individual),"901 FAIR PARK
Little Rock, Arkansas",4/25/15
2015-047470,82,Robbery (Individual),"8900 RECK RD
Little Rock, Arkansas",5/2/15
2015-056693,61,Robbery (Individual),"0 KANIS PARK RD
Little Rock, Arkansas",5/23/15
2015-064384,80,Robbery (Individual),"3401 FAIR PARK
Little Rock, Arkansas",6/11/15
2015-135844,40,Robbery (Individual),"0 630 HW
Little Rock, Arkansas",11/28/15
2015-139142,71,Robbery (Individual),"420 NAPA VALLEY DR
Little Rock, Arkansas",12/6/15
2015-116705,90,Terroristic Act,"7919 COL GLENN RD
Little Rock, Arkansas",10/10/15
2015-129551,91,Terroristic Act,"8312 SPANN RD
Little Rock, Arkansas",11/11/15
2014-129728,42,Terroristic Act,"1118 J L HAWKINS ST
Little Rock, Arkansas",11/07/2014-11/08/2014
2015-025041,62,Theft by receiving Felony,"6201 COL. GLENN RD
Little Rock, Arkansas",3/8/15
2015-015217,92,Theft of property Felony,"13 SUNRISE LN
Little Rock, Arkansas",1/3/15
2015-001028,91,Theft of property Felony,"8 CHURCHILL DR
Little Rock, Arkansas",1/3/15
2015-002674,81,Theft of property Felony,"11526 MABELVALE WEST RD
Little Rock, Arkansas",1/7/15
2015-003630,92,Theft of property Felony,"12100 SARDIS RD
Little Rock, Arkansas",1/10/15
2015-004182,91,Theft of property Felony,"10525 MANN RD
Little Rock, Arkansas",1/12/15
2015-008713,60,Theft of property Felony,"5108 CLUB RD
Little Rock, Arkansas",1/23/15
2015-012921,71,Theft of property Felony,"507 GREEN MOUNTAIN
Little Rock, Arkansas",1/24/15
2015-009281,91,Theft of property Felony,"9917 MABELVALE MAIN ST
Little Rock, Arkansas",1/24/15
2015-010311,72,Theft of property Felony,"6400 THE DIVIDE
Little Rock, Arkansas",1/27/15
2015-010579,42,Theft of property Felony,"8821 FOURCHE DAM
Little Rock, Arkansas",1/28/15
2015-015936,64,Theft of property Felony,"11000 FINANCIAL CENTER PW
Little Rock, Arkansas",2/11/15
2015-018822,91,Theft of property Felony,"8704 KENNESAW MOUNTAIN DR
Little Rock, Arkansas",2/19/15
2015-020351,90,Theft of property Felony,"600 COLONEL GLENN PLAZA
Little Rock, Arkansas",2/21/15
2015-021069,54,Theft of property Felony,"801 FAIR PARK
Little Rock, Arkansas",2/25/15
2015-028766,91,Theft of property Felony,"7925 MABELVALE CUT OFF RD
Little Rock, Arkansas",3/17/15
2015-029690,92,Theft of property Felony,"8313 SPANN RD
Little Rock, Arkansas",3/20/15
2015-042544,62,Theft of property Felony,"4821 DARRAUGH DR
Little Rock, Arkansas",3/23/15
2015-035356,54,Theft of property Felony,"900 FAIR PARK
Little Rock, Arkansas",4/1/15
2015-037871,72,Theft of property Felony,"24998 CHENAL VALLEY DR
Little Rock, Arkansas",4/9/15
2015-044285,91,Theft of property Felony,"8225 OTTERCREEK PW
Little Rock, Arkansas",4/24/15
2015-045847,90,Theft of property Felony,"0 FRONTAGE RD
Little Rock, Arkansas",4/28/15
2015-050091,91,Theft of property Felony,"8415 FAIRWOOD RD
Little Rock, Arkansas",5/8/15
2015-053126,42,Theft of property Felony,"8921 FOURCHE DAM
Little Rock, Arkansas",5/15/15
2015-055354,42,Theft of property Felony,"5501 FOURCHE DAM
Little Rock, Arkansas",5/20/15
2015-058100,92,Theft of property Felony,"13420 ALEXANDER RD
Little Rock, Arkansas",5/27/15
2015-062278,64,Theft of property Felony,"9000 SAGE / 10 JORDAN MNR DR
Little Rock, Arkansas",6/6/15
2015-064367,64,Theft of property Felony,"10900 FINANCIAL CENTRE
Little Rock, Arkansas",6/11/15
2015-065197,93,Theft of property Felony,"13400 OTTER CREEK
Little Rock, Arkansas",6/12/15
2015-066368,62,Theft of property Felony,"2218 TATUM
Little Rock, Arkansas",6/14/15
2015-066944,50,Theft of property Felony,"2811 FAIR PARK
Little Rock, Arkansas",6/16/15
2015-072270,92,Theft of property Felony,"9701 NASH LN
Little Rock, Arkansas",6/29/15
2015-076587,51,Theft of property Felony,"1200 GARLAND / 200 N CROSS ST ST
Little Rock, Arkansas",7/8/15
2015-077648,42,Theft of property Felony,"2500 E BLOCK OF CAPTOL
Little Rock, Arkansas",7/10/15
2015-078851,71,Theft of property Felony,"15501 CAPITOL HILL
Little Rock, Arkansas",7/13/15
2015-079922,82,Theft of property Felony,"1905 LEW
Little Rock, Arkansas",7/15/15
2015-079925,92,Theft of property Felony,"12800 VIMY RIDGE RD
Little Rock, Arkansas",7/16/15
2015-085526,64,Theft of property Felony,"11301 FINANCIAL CENTRE
Little Rock, Arkansas",7/18/15
2015-082604,42,Theft of property Felony,"7004 FOURCHE DAM
Little Rock, Arkansas",7/22/15
2015-084577,64,Theft of property Felony,"11301 FINANCIAL CENTRE
Little Rock, Arkansas",7/26/15
2015-085172,72,Theft of property Felony,"15503 CAPITAL HILL
Little Rock, Arkansas",7/28/15
2015-086140,90,Theft of property Felony,"1924 STAGECOACH VILLAGE CT
Little Rock, Arkansas",7/30/15
2015-087834,64,Theft of property Felony,"10900 FINANCIAL CENTRE
Little Rock, Arkansas",8/1/15
2015-088545,71,Theft of property Felony,"15507 CAPITOL HILL
Little Rock, Arkansas",8/4/15
2015-090892,92,Theft of property Felony,"11600 OTTER CREEK SOUTH RD
Little Rock, Arkansas",8/9/15
2015-093529,91,Theft of property Felony,"13620 CHICOT RD
Little Rock, Arkansas",8/16/15
2015-106360,91,Theft of property Felony,"5 KELLI CT
Little Rock, Arkansas",8/27/15
2015-098240,42,Theft of property Felony,"8921 FOURCHE DAM
Little Rock, Arkansas",8/28/15
2015-100140,62,Theft of property Felony,"906 N BRYANT ST
Little Rock, Arkansas",8/31/15
2015-101283,91,Theft of property Felony,"10402 WOODMAN ST
Little Rock, Arkansas",9/4/15
2015-104477,51,Theft of property Felony,"1400 S PULASKI / 1300 W DAISY L ST
Little Rock, Arkansas",9/11/15
2015-107141,93,Theft of property Felony,"15 SOUTHERN HILLS
Little Rock, Arkansas",9/15/15
2015-110037,60,Theft of property Felony,"6838 CANTREL
Little Rock, Arkansas",9/24/15
2015-111740,64,Theft of property Felony,"1900 SCOTTY CT
Little Rock, Arkansas",9/28/15
2015-111692,91,Theft of property Felony,"12521 HEINKE RD
Little Rock, Arkansas",9/28/15
2015-120706,90,Theft of property Felony,"401 COLONEL GLENN PLAZA
Little Rock, Arkansas",10/1/15
2015-114547,91,Theft of property Felony,"11209 APPOMATTOX DR
Little Rock, Arkansas",10/5/15
2015-118612,91,Theft of property Felony,"10800 APPOMATOX RD
Little Rock, Arkansas",10/12/15
2015-118500,91,Theft of property Felony,"6 E ORCHARD CV
Little Rock, Arkansas",10/15/15
2015-120088,54,Theft of property Felony,"901 FAIR PARK
Little Rock, Arkansas",10/18/15
