IncidentNumber,District,offenseDesc1,IncidentAddress,IncidentDate
2016-031325,91,BURGLARY - RESIDENTIAL,"11121 LEGION HUT RD
Little Rock, Arkansas",3/22/16
2016-031670,91,BURGLARY - RESIDENTIAL,"0
Little Rock, Arkansas",3/23/16
2016-037391,92,BURGLARY - RESIDENTIAL,"22 PENNY LN
Little Rock, Arkansas",4/6/16
2016-040822,92,BURGLARY - RESIDENTIAL,"14101 PLEASANT HILL RD
Little Rock, Arkansas",4/15/16
2016-042149,90,BURGLARY - RESIDENTIAL,"21 JAVA CT
Little Rock, Arkansas",4/18/16
2016-046666,91,BURGLARY - RESIDENTIAL,"8225 MABELVALE CTF
Little Rock, Arkansas",4/29/16
2016-056555,64,BURGLARY - RESIDENTIAL,"600 HARDIN DR
Little Rock, Arkansas",5/15/16
2016-058557,92,BURGLARY - RESIDENTIAL,"9701 NASH LN
Little Rock, Arkansas",5/28/16
2016-060426,91,BURGLARY - RESIDENTIAL,"10913 LEGION HUT RD
Little Rock, Arkansas",6/2/16
2016-076527,92,BURGLARY - RESIDENTIAL,"9701 NASH LN
Little Rock, Arkansas",7/9/16
2016-077751,92,BURGLARY - RESIDENTIAL,"34 PINEDALE CIR
Little Rock, Arkansas",7/12/16
2016-086198,63,BURGLARY - RESIDENTIAL,"0
Little Rock, Arkansas",8/1/16
2016-088356,92,BURGLARY - RESIDENTIAL,"18 PINEDALE CIR
Little Rock, Arkansas",8/6/16
2016-094593,61,BURGLARY - RESIDENTIAL,"0
Little Rock, Arkansas",8/22/16
2016-106352,91,BURGLARY - RESIDENTIAL,"8200 OXFORD VALLEY DR
Little Rock, Arkansas",9/20/16
2016-135545,92,BURGLARY - RESIDENTIAL,"10514 MABELVALE WEST RD
Little Rock, Arkansas",12/3/16
2016-136844,64,BURGLARY - RESIDENTIAL,"0
Little Rock, Arkansas",12/6/16
2016-004399,92,BURGLARY - RESIDENTIAL,"14 IRISH ROSE
Little Rock, Arkansas",01/11/2016-01/12/2016
2016-137084,71,BURGLARY - RESIDENTIAL,"420 NAPA VALLEY DR
Little Rock, Arkansas",11/30/2016-12/02/2016
2016-138902,61,BURGLARY - RESIDENTIAL,"24 MICHAELS ST
Little Rock, Arkansas",12/09/2016-12/11/2016
2016-064565,92,BURGLARY - RESIDENTIAL,"10307 NASH LN
Little Rock, Arkansas",5/29/2016-6/12/2016
2016-098287,91,BURGLARY - RESIDENTIAL,"11113 BULL RUN DR
Little Rock, Arkansas",8/5/2016-8/31/2016
2016-075319,91,BURGLARY COMMERCIAL,"9401 MABELVALE PIKE
Little Rock, Arkansas",7/7/16
2016-084282,92,BURGLARY COMMERCIAL,"10402 MABELVALE PIKE
Little Rock, Arkansas",7/28/16
2016-130746,81,BURGLARY COMMERCIAL,"0
Little Rock, Arkansas",11/20/16
2016-105756,82,BURGLARY COMMERCIAL,"0
Little Rock, Arkansas",09/17/2016-09/19/2016
2016-128996,64,BURGLARY COMMERCIAL,"9400 BAPTIST HEALTH DR
Little Rock, Arkansas",11/16/2016-11/16/2016
2016-134083,64,BURGLARY COMMERCIAL,"0
Little Rock, Arkansas",11/23/2016-11/29/2016
2016-125627,61,DOMESTIC BATTERING 2ND DEGREE,"101 KANIS RD
Little Rock, Arkansas",11/7/16
2016-052336,54,DOMESTIC BATTERING 2ND DEGREE,"0
Little Rock, Arkansas",5/13/16
2016-069788,54,DOMESTIC BATTERING 2ND DEGREE,"4323 ABIGAIL ST
Little Rock, Arkansas",6/24/16
2016-064443,81,HOMICIDE,"6300 HAZEL ST
Little Rock, Arkansas",6/11/2016-6/12/2016
2016-006280,92,ROBBERY (BUSINESS),"12106 SARDIS RD
Little Rock, Arkansas",1/17/16
2016-039139,40,ROBBERY (INDIVIDUAL),"300 E PRESIDENT CLINTON
Little Rock, Arkansas",4/11/16
2016-113795,91,ROBBERY (INDIVIDUAL),"8205 CASTLE VALLEY RD
Little Rock, Arkansas",10/8/16
2016-037105,54,ROBBERY (INDIVIDUAL),"11 WRIGHT
Little Rock, Arkansas",4/6/16
2016-094356,54,ROBBERY (INDIVIDUAL),"0
Little Rock, Arkansas",8/22/16
2016-076304,62,THEFT OF PROPERTY FELONY,"0
Little Rock, Arkansas",7/9/16
2016-028294,91,ROBBERY (INDIVIDUAL),"7703 DEPRIEST RD
Little Rock, Arkansas",3/15/16
2016-081617,71,ROBBERY (INDIVIDUAL),"0
Little Rock, Arkansas",7/21/16
2016-086323,54,ROBBERY (INDIVIDUAL),"2900 W MARYLAND
Little Rock, Arkansas",8/2/16
2016-091722,42,ROBBERY (INDIVIDUAL),"11 E ROOSEVELT RD
Little Rock, Arkansas",8/14/16 0:00
2016-131086,43,ROBBERY (INDIVIDUAL),"0
Little Rock, Arkansas",11/20/16
2016-103581,81,TERRORISTIC ACT,"5000 S ARCH ST
Little Rock, Arkansas",9/14/16
2016-114398,52,TERRORISTIC ACT,"0 W 21ST ST
Little Rock, Arkansas",10/09/2016-10/10/2016
2016-041901,81,TERRORISTIC ACT,"7900 S UNIVERSITY
Little Rock, Arkansas",4/17/16
2016-096453,54,TERRORISTIC ACT,"6320 ASHER
Little Rock, Arkansas",8/27/16 0:00
2016-017003,90,THEFT OF PROPERTY FELONY,"13700 DAVID O DODD RD
Little Rock, Arkansas",02/13/2016-02/15/2016
2016-003820,61,THEFT OF PROPERTY FELONY,"1024 S MISSISSIPPI ST
Little Rock, Arkansas",1/11/16
2016-005450,92,THEFT OF PROPERTY FELONY,"1 CARROLL CIR
Little Rock, Arkansas",1/15/16
2016-009400,41,THEFT OF PROPERTY FELONY,"0
Little Rock, Arkansas",1/26/16
2016-085115,52,THEFT OF PROPERTY FELONY,"2601 W MARTIN LUTHER KING DR
Little Rock, Arkansas",7/29/16
2016-120487,92,THEFT OF PROPERTY FELONY,"10307 NASH LN
Little Rock, Arkansas",10/1/16
2016-006970,91,THEFT OF PROPERTY FELONY,"9609 WOODLAND DR
Little Rock, Arkansas",01/15/2016-01/19/2016
2016-108650,92,THEFT OF PROPERTY FELONY,"1 ANTHONY LN
Little Rock, Arkansas",09/23/2016-09/25/2016
2016-056306,51,RAPE,"Little Rock, Arkansas
(34.748745, -92.275105)",5/23/16
2016-014916,63,THEFT OF PROPERTY FELONY,"511 E PRESIDENT CLINTON
Little Rock, Arkansas",2/8/16
2016-112397,91,THEFT OF PROPERTY FELONY,"9808 MABELVALE MAIN ST
Little Rock, Arkansas",10/5/16
2016-080307,91,THEFT OF PROPERTY FELONY,"8503 PIN OAK DR
Little Rock, Arkansas",07/12/2016-07/18/2016
2016-029734,82,RAPE,"Little Rock, Arkansas
(34.748745, -92.275105)",12/1/14
2016-132960,80,THEFT OF PROPERTY FELONY,"0
Little Rock, Arkansas",11/26/16
2016-024076,61,THEFT OF PROPERTY FELONY,"0
Little Rock, Arkansas",3/4/16
2016-104465,80,RAPE,"Little Rock, Arkansas
(34.748745, -92.275105)",9/16/16
2016-040757,54,RAPE,"Little Rock, Arkansas
(34.748745, -92.275105)",4/15/16
2016-142162,92,THEFT OF PROPERTY FELONY,"11310 OTTER CREEK EAST BLVD
Little Rock, Arkansas",02/28/2016-12/05/2016
